# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.48,	0.09,	7.09876,	0.071096,	-0.456157,	0.20446,	2.56017e-06
0.05,	0.49,	0.09,	6.66325,	0.0807755,	-0.228836,	0.228836,	2.62919e-07
0.05,	0.05,	0.1,	5.80194,	0.0348186,	-0.00754206,	0.136878,	0.102823
0.05,	0.06,	0.1,	2.00723,	0.0113085,	-0.120451,	0.126319,	1.13248e-07
0.05,	0.07,	0.1,	2.24224,	0.014917,	-0.13481,	0.173114,	2.91017e-07
0.05,	0.08,	0.1,	2.46832,	0.0138939,	-0.116152,	0.131077,	5.67279e-07
0.05,	0.09,	0.1,	7.74521,	0.0520201,	-0.0203815,	0.128975,	1.01404e-07
0.05,	0.1,	0.1,	4.81158,	0.0276722,	-0.115798,	0.114729,	0.00883386
0.05,	0.11,	0.1,	8,	0.05,	-0.11,	0.1,	0.563877
0.05,	0.12,	0.1,	4.70261,	0.0248173,	-0.291871,	0.101929,	1.88754e-07
0.05,	0.13,	0.1,	8,	0.05,	-0.13,	0.1,	0.288228
0.05,	0.14,	0.1,	2.01088,	0.00853532,	-0.304163,	0.140526,	0.00866965
0.05,	0.15,	0.1,	2.01219,	0.00974957,	-0.282648,	0.0713508,	0.0175316
0.05,	0.16,	0.1,	10.4731,	0.0406352,	-0.522988,	0.118498,	1.54332e-06
0.05,	0.17,	0.1,	2.04412,	0.00906265,	-0.232923,	0.221734,	0.000757583
0.05,	0.18,	0.1,	7.04314,	0.0446792,	-0.0133243,	0.19217,	0.287878
0.05,	0.19,	0.1,	5.14738,	0.0363928,	-0.172384,	0.00768064,	0.147714
0.05,	0.2,	0.1,	2.00218,	0.0159131,	-0.0386496,	0.0358849,	4.83909e-08
0.05,	0.21,	0.1,	2.21361,	0.0147933,	-0.142055,	0.164447,	1.26164e-07
0.05,	0.22,	0.1,	8.12524,	0.049825,	-0.221166,	0.130918,	1.56605e-07
0.05,	0.23,	0.1,	7.95728,	0.0486836,	-0.223421,	0.128624,	1.34569e-07
0.05,	0.24,	0.1,	8,	0.05,	-0.24,	0.1,	0.284649
0.05,	0.25,	0.1,	7.95474,	-0.639306,	-3.56784,	5.28817,	0
0.05,	0.26,	0.1,	8.53272,	0.0530983,	-0.137343,	0.382642,	0.575063
0.05,	0.27,	0.1,	8.00142,	0.0719293,	-0.130083,	0.0227802,	1.75746e-07
0.05,	0.28,	0.1,	8,	0.05,	-0.28,	0.1,	0.293357
0.05,	0.29,	0.1,	7.77188,	0.0466347,	-0.226319,	0.226319,	3.516e-07
0.05,	0.3,	0.1,	3.34619,	0.0199965,	-0.225306,	0.225306,	9.16283e-08
0.05,	0.31,	0.1,	4.04511,	0.933111,	4.40096,	-3.63702,	0
0.05,	0.32,	0.1,	5.22119,	0.0536677,	-0.143919,	0.00809969,	0.12596
0.05,	0.33,	0.1,	2.00961,	0.00998178,	-0.382451,	0.172877,	0.0112196
0.05,	0.34,	0.1,	8.40337,	0.0607208,	-0.227189,	0.227189,	2.53671e-07
0.05,	0.35,	0.1,	7.75223,	0.0559435,	-0.226868,	0.226868,	2.05947e-07
0.05,	0.36,	0.1,	8,	0.05,	-0.36,	0.1,	0.351548
0.05,	0.37,	0.1,	8,	0.05,	-0.37,	0.1,	0.520704
0.05,	0.38,	0.1,	7.77904,	0.74394,	0.739225,	-8.24427,	0
0.05,	0.39,	0.1,	5.54482,	1.91972,	6.72582,	-10.5769,	0
0.05,	0.4,	0.1,	9.87501,	0.0477158,	-0.488276,	0.0105722,	1.51717e-06
0.05,	0.41,	0.1,	8,	0.05,	-0.41,	0.1,	0.194381
0.05,	0.42,	0.1,	9.47266,	0.0572879,	-0.435787,	0.00230068,	0.0678167
0.05,	0.43,	0.1,	7.25154,	0.0655908,	-0.227544,	0.227544,	1.86957e-07
0.05,	0.44,	0.1,	8,	0.05,	-0.44,	0.1,	0.687802
0.05,	0.45,	0.1,	7.86228,	0.0986081,	-0.282171,	0.35338,	1.5967e-07
0.05,	0.46,	0.1,	3.87893,	0.0465497,	-0.226315,	0.226315,	2.17312e-07
0.05,	0.47,	0.1,	3.08931,	0.0370056,	-0.225859,	0.225859,	2.24022e-07
0.05,	0.48,	0.1,	8,	0.05,	-0.48,	0.1,	0.446981
0.05,	0.49,	0.1,	5.95972,	0.0720227,	-0.228057,	0.228057,	5.00413e-08
0.05,	0.05,	0.11,	4.47036,	0.0250894,	-0.112364,	0.137222,	1.91385e-06
0.05,	0.06,	0.11,	2.00069,	0.0118645,	-0.0129311,	0.142174,	0.0397884
0.05,	0.07,	0.11,	8.23481,	0.0454104,	-0.0992154,	0.160721,	1.23898e-07
0.05,	0.08,	0.11,	2.15345,	0.0119467,	-0.0923317,	0.158343,	3.3449e-07
0.05,	0.09,	0.11,	2.77582,	0.0191893,	-0.0760169,	0.065457,	2.15271e-07
0.05,	0.1,	0.11,	8,	0.05,	-0.1,	0.11,	0.541839
0.05,	0.11,	0.11,	2.2151,	0.0175907,	-0.047095,	0.0275335,	6.56255e-08
0.05,	0.12,	0.11,	8,	0.05,	-0.12,	0.11,	0.301055
0.05,	0.13,	0.11,	5.87452,	0.0335142,	-0.212383,	0.0810007,	0.112854
